,sim_type,RHOS,NUM_STATIONS,NUM_PACKETS,BITRATE,PKTSIZE,delay,qsize,ssize,busy,fingerprint
260,fix,0.2,8,2000,2000,2000,14.24624719,0.241311368,0.442118422,0.200928311,9335.085973
261,fix,0.2,8,5000,1000,500,7.013258935,0.237239019,0.433703413,0.196694417,4977.041995
262,fix,0.2,8,5000,1000,1000,14.04401116,0.244717197,0.444096699,0.199544646,9793.705956
263,fix,0.2,8,5000,1000,2000,29.15318852,0.259026635,0.46232708,0.203304252,8599.944063
264,fix,0.2,8,5000,1500,500,4.670801589,0.24752753,0.449793313,0.202587803,5250.119252
265,fix,0.2,8,5000,1500,1000,9.557756737,0.254709464,0.455538655,0.201671579,2356.783049
266,fix,0.2,8,5000,1500,2000,18.08505842,0.221808802,0.413303705,0.191501697,8553.523068
267,fix,0.2,8,5000,2000,500,3.67185579,0.258933234,0.466512138,0.207591105,2174.329574
268,fix,0.2,8,5000,2000,1000,6.980469659,0.244954251,0.445583764,0.20067799,9726.967429
269,fix,0.2,8,5000,2000,2000,15.00554834,0.270527515,0.47862997,0.208338291,9748.078695
270,fix,0.2,8,10000,1000,500,7.21148389,0.25640934,0.46067804,0.204387867,3293.432082
271,fix,0.2,8,10000,1000,1000,13.89241221,0.241639255,0.44059189,0.19895547,2719.970957
272,fix,0.2,8,10000,1000,2000,27.6010153,0.23342898,0.431454155,0.19810009,7595.780171
273,fix,0.2,8,10000,1500,500,4.669284465,0.247543061,0.449106774,0.201679301,5958.051356
